BRAND  ,PRODUCT  ,PRODUCT TYPE  ,WEIGHT  ,EXT1  ,EXT2  ,  ITEM CODE,ITEM NAME  ,PRODUCT TYPECODE  ,MFR. NAME  ,ALIAS NAME  ,ITEM SHORT NAME  ,UPC/EAN CODE  ,  SELLING,  MRP,  PUR.PRICE,  LANDING COST,  DECIMALS REQUIRED,  ITEM DISCOUNT %,INCLUSIVE TAX  ,  SALES TAX%,  PURCHASE TAX%,  COST WITHOUT TAX,MAIN DISTRIBUTOR NAME  ,ACTIVITY STATUS  ,  SPL RATE,IS WEIGHTABLE  ,  GST CODE,GST%  ,HSN CODE  ,PURCHASE GST CALC ON  ,  PURCHASE ABATEMENT %,SALES GST CALC ON  ,  SALES ABATEMENT %,DIST GST NO  ,APPLY SELLING RATE FROM MASTER  ,GIFT VOUCHER TYPE  ,INDENT/REORDER GENERATIONTYPE  ,INDENT/REORDER FORMULA  ,CONVERSION ALLOWED  ,  MINIMUM SHELF LIFE,RETURN PERIOD DAYS  ,IS CANCELLABLE?  ,VAT UOM  ,COMMODITY DESCRIPTION  ,  COMMODITY CODE,SALETAX EXEMPT APPLICABLE  
ASHAPURA  ,APRAY NAL  ,HARDWEIRY  ,0  ,0  ,0  ,  1857,SPRAY NALPANI  1PCS  ,1  ,NA  ,  ,STEEL KING SPRAY NAL 1PCS  ,  ,15.0,35.0,10.0,0.0,0.0,0.0,YES  ,0.,0.0,0.0,NA  ,REGULAR  ,0.0,No  ,  5005,GST 18%  ,391721  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,SPRAY  ,HOUSE HOLD  ,0  ,0  ,0  ,  3724,SPRAYER  HEAD GUN 1N  ,1  ,NA  ,  ,SPRAYER  HEAD GUN 1N  ,  ,20.0,30.0,14.0,14.0,0.0,0.0,YES  ,0.,0.0,14.0,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,HING POWDER  ,GROCERY  ,0  ,0  ,0  ,  3130,SPYRAN  HING POWDER 50G  ,1  ,NA  ,  ,SPYRAN  HING POWDER 50G  ,8906018560807  ,150.0,153.0,140.0,140.0,0.0,0.0,YES  ,0.,0.0,140.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,13019019  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,AACHAR MASALA  ,MASALA  ,0  ,0  ,0  ,  2291,SPYRAN ACHAR MASALA 100G  ,1  ,NA  ,  ,SPYRAN ACHAR MASALA 100G  ,8906018562603  ,60.0,63.0,51.0,51.0,0.0,0.0,YES  ,0.,0.0,51.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,AACHAR MASALA  ,MASALA  ,0  ,0  ,0  ,  2857,SPYRAN ACHAR MASALA 200G  ,1  ,NA  ,  ,SPYRAN ACHAR MASALA 200G  ,8906018560357  ,110.0,120.0,  92.28,  92.28,0.0,0.0,YES  ,0.,0.0,  92.28,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,AACHAR MASALA  ,MASALA  ,0  ,0  ,0  ,  2858,SPYRAN ACHAR MASALA 500G  ,1  ,NA  ,  ,SPYRAN ACHAR MASALA 500G  ,8906018560364  ,255.0,295.0,  226.86,  226.86,0.0,0.0,YES  ,0.,0.0,  226.86,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,AACHAR MASALA  ,MASALA  ,0  ,0  ,0  ,  2859,SPYRAN ACHAR MASALA HOT 200G  ,1  ,NA  ,  ,SPYRAN ACHAR MASALA HOT 200G  ,8906018562610  ,80.0,92.0,  70.75,  70.75,0.0,0.0,YES  ,0.,0.0,  70.75,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,AACHAR MASALA  ,MASALA  ,0  ,0  ,0  ,  2860,SPYRAN ACHAR MASALA HOT 500G  ,1  ,NA  ,  ,SPYRAN ACHAR MASALA HOT 500G  ,8906018561972  ,199.0,225.0,  173.04,  173.04,0.0,0.0,YES  ,0.,0.0,  173.04,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,MIX MASALA  ,MASALA  ,0  ,0  ,0  ,  2289,SPYRAN GINGER POWDER 100G  ,1  ,NA  ,  ,SPYRAN GINGER POWDER 100G  ,8906018560913  ,95.0,100.0,  73.26,  76.92,0.0,0.0,YES  ,0.,0.0,  76.92,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,MIX MASALA  ,MASALA  ,0  ,0  ,0  ,  2290,SPYRAN GINGER POWDER 50G  ,1  ,NA  ,  ,SPYRAN GINGER POWDER 50G  ,8906018560906  ,48.0,50.0,  36.63,  38.46,0.0,0.0,YES  ,0.,0.0,  38.46,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,MIX MASALA  ,MASALA  ,0  ,0  ,0  ,  1134,SPYRAN PIPRAMUL POWDER 50G  ,1  ,NA  ,  ,EVE.CHAT MASALA 15G  ,8906018560746  ,50.0,55.0,45.0,45.0,0.0,0.0,YES  ,0.,0.0,45.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,MIX MASALA  ,MASALA  ,0  ,0  ,0  ,  1135,SPYRAN TEA MASALA 100G  ,1  ,NA  ,  ,SPYRAN TEA MASALA 100G  ,8906018560074  ,138.0,144.0,  105.49,  110.76,0.0,0.0,YES  ,0.,0.0,  110.76,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,MIX MASALA  ,MASALA  ,0  ,0  ,0  ,  2288,SPYRAN TEA MASALA 50G  ,1  ,NA  ,  ,SPYRAN TEA MASALA 50G  ,8906018560067  ,70.0,72.0,  52.75,  55.39,0.0,0.0,YES  ,0.,0.0,  55.39,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPYRAN MASALA  ,MIX MASALA  ,MASALA  ,0  ,0  ,0  ,  4465,SPYRAN TEA MASALA 6GM  ,1  ,NA  ,  ,SPYRAN TEA MASALA 6GM  ,8906018562481  ,10.0,10.0,  6.48, 6.80,0.0,0.0,YES  ,0.,0.0, 6.80,SHREE RANCHHODRAY MASALA MARKETING  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,09109100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AAJFS5410R1ZS  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SR  ,RAI SARSO  ,MASALA  ,0  ,0  ,0  ,  1227,SR RAI 1KG  ,1  ,NA  ,  ,VJ SUPER SOUFF 1KG  ,  ,100.0,120.0,90.0,0.0,0.0,0.0,YES  ,0.,0.0,0.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,120750  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,JYOT SAMAN  ,POOJA SAMGRI  ,0  ,0  ,0  ,  974,SREE KRUPA HONEY POOJA  ,1  ,NA  ,  ,CYCLE THREE IN ONE 50G  ,5062  ,20.0,30.0,15.0,0.0,0.0,0.0,YES  ,0.,0.0,0.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33074100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SRI SRI  ,GHEE  ,GHEE DESI  ,0  ,0  ,0  ,  1193,SRI SRI COW GHEE 500ML  ,1  ,NA  ,  ,GO.GHEE FREE CON 1L  ,8906038783194  ,380.0,425.0,  352.38,370.0,0.0,0.0,YES  ,0.,0.0,370.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,04059020  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
